,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Colorado
5,Connecticut
6,Delaware
7,Georgia
8,Idaho
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maryland
15,Massachusetts
16,Michigan
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,New Hampshire
22,North Dakota
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,South Dakota
28,Tennessee
29,Utah
30,Vermont
31,Virginia
32,Washington
33,West Virginia
34,Wisconsin
35,Wyoming
